Division,Title,Subject,Description
ocd-division/country:us/state:ca,Proposition 51,Education,Authorizes issuance and sale of $9 billion in bonds for education and schools
ocd-division/country:us/state:ca,Proposition 52,Healthcare,Requires voter approval of changes to the hospital fee program
ocd-division/country:us/state:ca,Proposition 53,Elections and campaigns,Requires voter approval for projects that cost more than $2 billion funded by revenue bonds
ocd-division/country:us/state:ca,Proposition 54,Government accountability,Prohibits the legislature from passing any bill until it has been in print and published on the Internet for 72 hours prior to the vote
ocd-division/country:us/state:ca,Proposition 55,Taxes,"Extends the temporary personal income tax increases on incomes over $250,000 implemented by Proposition 30"
ocd-division/country:us/state:ca,Proposition 56,Tobacco,Increases the cigarette tax to $2.00 per pack
ocd-division/country:us/state:ca,Proposition 57,Civil and criminal trials,Increases parole chances for felons convicted of non-violent crimes and give them more opportunities to earn credits for good behavior
ocd-division/country:us/state:ca,Proposition 58,Education,"Repeals Prop 227 of 1998, thus allowing for bilingual education in public schools"
ocd-division/country:us/state:ca,Proposition 59,Campaign finance and Federal issues,"Indicates whether voters approve of California State Legislators using what influence they have over federal issues to overturn Citizens United v. Federal Election Commission and ""to make clear that corporations should not have the same constitutional rights as human beings."""
ocd-division/country:us/state:ca,Proposition 60,Adult entertainment,Requires the use of condoms in all pornographic films featuring sexual intercourse produced in California
ocd-division/country:us/state:ca,Proposition 61,Healthcare,Prohibits state agencies from paying more for a prescription drug than the lowest price paid for the same drug by the United States Department of Veterans Affairs
ocd-division/country:us/state:ca,Proposition 62,Death penalty,Repeals the death penalty in the state of California
ocd-division/country:us/state:ca,Proposition 63,Firearms,Prohibits possession of large capacity ammunition magazines and requires individuals to pass a background check and receive authorization from the Department of Justice in order to purchase ammunition
ocd-division/country:us/state:ca,Proposition 64,Marijuana,Legalizes marijuana and hemp under state law and enacts certain sales and cultivation taxes
ocd-division/country:us/state:ca,Proposition 65,Environment,Redirects money collected from the sale of grocery and retail carry-out bags to a special fund administered by the Wildlife Conservation Board
ocd-division/country:us/state:ca,Proposition 66,Death penalty,Changes procedures governing state court appeals and petitions challenging death penalty convictions and sentences
ocd-division/country:us/state:ca,Proposition 67,Business reg,"Ratifies SB 270, thus prohibiting plastic single-use carryout bags"
